product_uid,name,category_keyword,price,review_count,average_rating,brand,product_type
7260789,Starbucks Caffé Latte Flavoured Milk Iced Coffee 220ml,milk,2.2,133,4.3459,,BASIC
7851171,Biotiful Gut Health Kefir Milk Drink Cherry 500ml,milk,2.6,110,4.5273,,BASIC
7490374,Starbucks Frappuccino Mocha Chocolate Flavoured Milk Iced Coffee 250ml,milk,2.2,49,4.3265,,BASIC
7358062,Starbucks Caramel Macchiato Flavoured Milk Iced Coffee 220ml,milk,2.2,153,4.5229,,BASIC
7697653,Starbucks Skinny Latte Lactose Free Flavoured Milk Iced Coffee 220ml,milk,2.2,205,4.439,,BASIC
7896204,Yazoo Chocolate Milk Drink 400ml,milk,0.8,105,4.6286,,BASIC
7517210,Quick Milk Sipper Chocolate 5x6g,milk,0.55,16,4.875,,BASIC
7896196,Yazoo Strawberry Milk Drink 400ml,milk,0.8,92,4.663,,BASIC
8126798,Biotiful Gut Health Kefir Milk Drink Strawberry 1L,milk,3.0,52,4.8846,,BASIC
7847229,Mars Chocolate Milk Shake Drink No Added Sugar 400ml,milk,1.25,17,4.5882,,BASIC
8032220,Yazoo Chocolate Milk Drink 1L,milk,2.1,105,4.6286,,BASIC
8126795,Biotiful Gut Health Kefir Milk Drink Vanilla 1L,milk,3.0,48,4.8542,,BASIC
8047234,Biotiful Gut Health Kefir Milk Drink Mango 500ml,milk,2.6,52,4.6731,,BASIC
8173870,Arla Protein 482ml Chocolate Milk Shake,milk,1.5,50,4.52,,BASIC
8001111,Tom Parker Creamery Free Range Chocolate Milk 250ml,milk,2.45,16,4.375,,BASIC
8032226,Yazoo Strawberry Milk Drink 1L,milk,2.1,92,4.663,,BASIC
8156803,Yazoo Banana Milk Drink 400ml,milk,0.8,30,4.6333,,BASIC
8189665,Biotiful Gut Health Raspberry Kefir Milk Drink 500ml,milk,2.6,31,4.7097,,BASIC
8183694,Arla Protein 482ml Strawberry & Raspberry Flavoured Milk,milk,1.5,13,4.2308,,BASIC
8185106,"Sainsbury's Triple Belgian Chocolate Milk, Taste the Difference 750ml",milk,2.3,19,4.4737,,BASIC
8169248,Chocomel Chocolate Milk Drink 750ml,milk,2.75,80,4.5125,,BASIC
8204867,Yazoo Banana Milk Drink 1L,milk,2.1,16,4.1875,,BASIC
8085100,Starbucks Frappuccino Caramel Flavoured Milk Iced Coffee 4 x 250ml,milk,7.35,11,4.5455,,BASIC
8185718,"Sainsbury's White Chocolate & Raspberry Milk, Taste the Difference 750ml",milk,2.3,19,4.7368,,BASIC
8202555,Starbucks Frappuccino Caramel Flavoured Milk Iced Coffee No Added Sugar 250ml,milk,2.2,18,4.2222,,BASIC
8204517,Chocomel Chocolate Milk Drink 300ml,milk,0.85,52,4.75,,BASIC
8241850,Starbucks Multiserve Frappuccino Mocha Chocolate Flavoured Milk Iced Coffee 700ml,milk,2.5,31,4.4516,,BASIC
6290865,Sainsbury's Chocolate Milkshake 1L,milk,1.2,68,4.0294,,BASIC
6290851,Sainsbury's Strawberry Milkshake 1L,milk,1.2,80,4.125,,BASIC
8034208,Sainsbury's Everyday Lactose Free Whole Dairy Drink 1l,milk,1.35,54,4.5556,,BASIC
6319221,Sainsbury's Banana Milkshake 1L,milk,1.2,46,4.1739,,BASIC
6625895,Oatly Oat Drink Chocolate Long Life 1L,milk,1.5,16,4.125,,BASIC
7493061,Emmi Caffe Latte Skinny Iced Coffee 230ml,milk,2.0,40,4.725,,BASIC
8032169,Happy Monkey Chocolate Milkshakes 3x200ml,milk,1.2,20,4.95,,BASIC
6465226,Emmi Caffe Latte Cappuccino Iced Coffee 230ml,milk,2.0,42,4.7857,,BASIC
7862496,Arctic Coffee Latte 330ml,milk,1.15,34,4.7353,,BASIC
7895942,Müller Frijj Chocolate Flavour Milkshake 330ml,milk,1.5,88,4.6591,,BASIC
7260786,Starbucks DoubleShot Espresso Iced Coffee 200ml,milk,2.2,103,4.5534,,BASIC
4032052,Nesquik Chocolate Flavoured Milkshake Powder 500g Tub,milk,3.85,187,4.4332,,BASIC
7993002,Arctic Coffee Caffe Latte 1L,milk,2.0,26,4.6154,,BASIC
4032106,Nesquik Strawberry Flavoured Milkshake Powder 500g Tub,milk,3.85,242,4.5785,,BASIC
8032171,Happy Monkey Strawberry Milkshake 3x200ml,milk,1.2,14,4.8571,,BASIC
6740847,Crusha Strawberry Flavour No Added Sugar Milkshake Mix 500ml,milk,1.0,56,4.2321,,BASIC
7895945,Müller Frijj Strawberry Flavour Milkshake 330ml,milk,1.5,81,4.5926,,BASIC
7912108,Starbucks DoubleShot Espresso No Added Sugar Iced Coffee Drink 200ml,milk,2.2,19,4.2105,,BASIC
7895943,Müller Frijj Fudge Brownie Flavour Milkshake 330ml,milk,1.5,83,4.5422,,BASIC
8032091,Arctic Coffee Caramel Latte 1L,milk,2.0,18,4.3889,,BASIC
8168203,GetPro 300g Strawberry Raspberry Flavour Drinking Yoghurt,milk,1.1,90,4.5889,,BASIC
7865956,Shaken Udder Chocolush Milkshake 330ml,milk,1.7,190,4.4947,,BASIC
7865968,Shaken Udder Vanilla licious Milkshake 330ml,milk,1.7,76,4.6447,,BASIC
7984299,Huel 500ml Chocolate Flavour Ready to Drink Complete Meal,milk,3.5,86,4.6977,,BASIC
7963993,Shaken Udder Chocolush Milkshake 750ml,milk,2.0,190,4.4947,,BASIC
7895953,Müller Frijj Banana Flavour Milkshake 330ml,milk,1.5,53,4.6604,,BASIC
8032152,Starbucks Frappuccino Caramel 250ml,milk,1.25,56,4.6786,,BASIC
8056375,Ufit Strawberry Flavour High Protein Milkshake 330ml,milk,2.0,5,4.8,,BASIC
7865964,Shaken Udder Top Banana! Milkshake 330ml,milk,1.7,33,4.5455,,BASIC
8032118,Shaken Udder Strawberry Dream Milkshake 750ml,milk,2.0,62,4.2903,,BASIC
8190897,GetPro 200g Forest Fruits Yoghurt,milk,1.65,68,4.4412,,BASIC
8186790,Huel Black Edition Chocolate 500ml,milk,3.8,37,4.9189,,BASIC
8073210,Starbucks Grande Caffe Latte Iced Coffee Drink 330ml,milk,2.8,171,4.4561,,BASIC
8117552,Jimmy's Iced Coffee Original 250ml,milk,1.0,12,4.5833,,BASIC
7972804,Shaken Udder Vanilla licious Milkshake 750ml,milk,2.0,76,4.6447,,BASIC
8152523,Graham's the Family Dairy Protein 25g Strawberry 200g,milk,1.2,2,5.0,,BASIC
7973407,Barebells Protein Milkshake Chocolate Flavour 330ml,milk,2.5,4,4.25,,BASIC
8158123,Starbucks Multiserve Skinny Latte No Added Sugar Iced Coffee 750ml,milk,3.75,205,4.439,,BASIC
8231657,For Goodness Shakes 35G Protein Shake Chocolate Flavour 330ml,milk,1.5,15,4.8,,BASIC
8153736,Nesquik Banana Flavoured Milkshake Powder 500g Tub,milk,3.85,202,4.6584,,BASIC
8152525,Graham's the Family Dairy Protein 25g Peach 200g,milk,1.2,3,4.6667,,BASIC
8186784,"Huel Vanilla, Black Edition 500ml",milk,3.8,27,4.7407,,BASIC
8128023,Ufit White Chocolate Flavour High Protein Milkshake 330ml,milk,2.0,32,4.75,,BASIC
8201489,"Huel 500ml Strawberry Banana Drink, Black Edition",milk,3.8,32,4.7187,,BASIC
8202563,Starbucks Caffe Latte Protein Drink with Coffee 330ml,milk,1.75,58,4.3793,,BASIC
8231655,For Goodness Shakes Strawberry Flavour Protein 330ml,milk,1.5,14,4.9286,,BASIC
8201495,Huel Chocolate Brownie 500ml,milk,3.5,30,4.9,,BASIC
8188586,Shaken Udder Chocolate Protein Milkshake 330ml,milk,2.3,25,4.64,,BASIC
8160002,Starbucks Grande Caramel Macchiato Iced Coffee 330ml,milk,2.8,61,4.5574,,BASIC
8081328,Ufit Strawberry Flavour High Protein Milkshake 500ml,milk,2.25,23,4.7391,,BASIC
8225583,Müller Myprotein Chocolate High Protein Shake,milk,1.5,35,3.8571,,BASIC
8202571,Starbucks Chocolate Mocha Flavour Protein Drink with Coffee 330ml,milk,1.75,40,4.6,,BASIC
7985428,Huel Berry 500ml,milk,3.5,40,4.575,,BASIC
8186792,Jimmy's Iced Coffee Caramel 250ml,milk,1.0,12,3.8333,,BASIC
8225585,Müller Myprotein Strawberry High Protein Shake,milk,1.5,42,4.5476,,BASIC
8202565,Starbucks Protein Drink with Coffee Caramel Hazelnut Flavour 330ml,milk,1.75,38,4.4474,,BASIC
8213502,Nescafe Iced Coffee Latte Multiserve 750ml,milk,1.5,84,4.4524,,BASIC
8204869,yfood Ready to Drink Complete Meal Classic Choco 500ml,milk,3.5,17,5.0,,BASIC
8073212,Starbucks Tripleshot Espresso Iced Coffee 300ml,milk,2.0,40,4.15,,BASIC
8204697,yfood Ready to Drink Complete Meal Smooth Vanilla 500ml,milk,3.5,15,4.7333,,BASIC
8196504,Costa Coffee Classic Latte Iced Coffee 330ml,milk,2.5,15,4.6667,,BASIC
8213504,Nescafe Iced Coffee Caramel Flavour Latte Multiserve 750ml,milk,1.5,81,4.4938,,BASIC
8201491,Huel Black Edition Iced Latte 500ml,milk,3.8,25,4.28,,BASIC
7973404,Barebells Protein Milkshake Strawberry Flavour 330ml,milk,2.5,3,4.3333,,BASIC
8196506,Costa Coffee Caramel Latte Iced Coffee 330ml,milk,2.5,23,4.8261,,BASIC
8231651,For Goodness Shakes Salted Caramel Flavour Protein 330ml,milk,1.5,12,4.75,,BASIC
8231647,For Goodness Shakes 35G Protein Shake Vanilla Flavour 330ml,milk,1.5,12,4.5833,,BASIC
8205198,Biotiful Gut Health Strawberry Kefir High Protein Drink 330ml,milk,2.0,35,4.6857,,BASIC
